Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,D66,GL,SGP,GPV,RPF,CD,SP,De Groenen,Vrouwenpartij,Bejaarden Centraal,VCN: partij van communisten in Nederland,Realisten Nederland,Socialistische Arbeiderspartij,Anti Werkloosheid Partij,Politieke Partij voor Ouderen,Vooruitstrevende Minderheden Partij,Partij Democratisch Socialisten,Socialistische Minderheden Partij,Humanistische Partij,Milieu Defensie Partij 2000+,Grote Alliance Partij,Staatkundige Federatie
11084,738,Aalburg,6509,28,"0,43 %",7619,6537,"85,80 %",2712,1019,513,206,96,1555,137,223,23,6,7,6,2,0,1,3,0,0,0,0,0,0,0,0,0
11264,358,Aalsmeer,14181,50,"0,35 %",16904,14231,"84,19 %",6206,2612,3361,1107,342,82,131,164,95,3,39,20,5,5,2,0,2,4,0,0,1,0,0,0,0
11046,197,Aalten,11556,28,"0,24 %",13500,11584,"85,81 %",6672,2683,933,505,303,27,105,234,33,3,22,11,0,2,3,8,4,7,1,0,0,0,0,0,0
11020,648,Aardenburg,2182,4,"0,18 %",2674,2186,"81,75 %",953,634,411,94,45,11,8,3,10,0,7,3,0,1,0,2,0,0,0,0,0,0,0,0,0
10757,739,Aarle-Rixtel,3550,16,"0,45 %",4181,3566,"85,29 %",1833,922,405,239,71,2,10,12,19,12,11,4,4,0,0,5,0,0,1,0,0,0,0,0,0
10712,305,Abcoude,5178,22,"0,42 %",5885,5200,"88,36 %",1957,880,1334,568,175,63,78,35,38,4,26,12,2,2,1,1,1,0,0,1,0,0,0,0,0
10199,59,Achtkarspelen,17457,57,"0,33 %",19787,17514,"88,51 %",7261,6519,987,655,371,191,808,563,26,11,29,8,0,9,9,6,3,0,1,0,0,0,0,0,0
10996,1,Adorp,1214,0,"0,00 %",1337,1214,"90,80 %",436,322,146,74,84,3,124,5,2,3,3,5,0,1,6,0,0,0,0,0,0,0,0,0,0
10999,2,Aduard,1879,1,"0,05 %",2101,1880,"89,48 %",607,647,203,103,59,1,229,8,2,2,4,2,0,1,10,1,0,0,0,0,0,0,0,0,0
10346,360,Akersloot,3274,11,"0,34 %",3811,3285,"86,20 %",1510,618,577,381,107,2,7,12,15,10,18,10,3,2,1,1,0,0,0,0,0,0,0,0,0
11327,482,Alblasserdam,10773,34,"0,32 %",12896,10807,"83,80 %",2668,4207,1176,702,291,1153,171,249,98,14,18,6,12,0,0,3,4,0,1,0,0,0,0,0,0
10124,613,Albrandswaard,8982,27,"0,30 %",10862,9009,"82,94 %",3182,2263,1923,826,244,206,114,55,94,10,28,12,6,6,4,8,1,0,0,0,0,0,0,0,0
10349,483,Alkemade,8642,11,"0,13 %",10141,8653,"85,33 %",4979,1303,1396,515,290,14,20,11,39,6,28,10,10,1,4,3,3,0,9,0,1,0,0,0,0
10527,361,Alkmaar,49946,143,"0,29 %",64433,50089,"77,74 %",14236,17766,7871,4909,3155,92,340,237,428,250,300,101,83,48,27,31,9,46,17,0,0,0,0,0,0
11053,141,Almelo,36257,103,"0,28 %",44437,36360,"81,82 %",12193,15613,4047,2214,884,128,344,315,219,97,64,31,22,26,13,7,9,28,3,0,0,0,0,0,0
10018,34,Almere,34764,84,"0,24 %",46243,34848,"75,36 %",6079,13493,7498,4159,1880,40,214,114,783,117,154,84,0,72,30,19,19,0,9,0,0,0,0,0,0
10517,484,Alphen aan den Rijn,34741,101,"0,29 %",44028,34842,"79,14 %",12453,8101,7228,3220,1322,580,420,551,225,426,83,50,16,4,25,32,2,0,2,0,1,0,0,0,0
10710,741,Alphen en Riel,3823,11,"0,29 %",4505,3834,"85,11 %",2333,628,474,263,74,1,4,1,17,5,9,4,0,2,2,6,0,0,0,0,0,0,0,0,0
11400,142,Ambt Delden,3708,4,"0,11 %",4030,3712,"92,11 %",2722,423,381,112,38,4,12,2,9,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11153,60,Ameland,2915,5,"0,17 %",2382,2920,"122,59 %",1279,851,440,176,99,6,32,7,6,1,8,4,0,0,5,1,0,0,0,0,0,0,0,0,0
11372,306,Amerongen,4341,9,"0,21 %",5036,4350,"86,38 %",1560,1070,775,244,91,392,40,107,28,9,10,5,2,1,4,1,0,0,1,0,1,0,0,0,0
10948,307,Amersfoort,57610,132,"0,23 %",73373,57742,"78,70 %",18947,16527,9082,5275,3291,817,2180,480,478,86,157,76,96,43,30,6,11,0,4,11,7,6,0,0,0
10151,198,Ammerzoden,2725,11,"0,40 %",3148,2736,"86,91 %",1618,587,240,135,36,46,5,23,11,3,8,1,0,1,2,4,1,3,1,0,0,0,0,0,0
10799,362,Amstelveen,45612,116,"0,25 %",55227,45728,"82,80 %",13393,10536,12627,5553,1935,144,275,235,384,48,220,109,43,19,44,11,5,26,4,0,1,0,0,0,0
11150,363,Amsterdam,358769,1260,"0,35 %",508361,360029,"70,82 %",54660,152832,48775,39496,38867,559,1262,1163,11182,1140,4268,803,718,1507,279,320,127,264,96,88,91,218,0,54,0
10822,364,Andijk,3619,7,"0,19 %",4212,3626,"86,09 %",1567,865,476,202,159,51,32,210,20,3,20,5,3,5,0,1,0,0,0,0,0,0,0,0,0
11131,199,Angerlo,2860,11,"0,38 %",3277,2871,"87,61 %",1390,942,247,200,48,2,2,6,10,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0
10787,105,Anloo,5049,13,"0,26 %",5746,5062,"88,10 %",632,2372,1330,440,153,1,42,19,10,11,9,13,0,5,9,2,1,0,0,0,0,0,0,0,0
10344,366,Anna Paulowna,6266,21,"0,34 %",7568,6287,"83,07 %",2499,1444,1540,432,176,10,55,36,30,4,8,11,2,4,9,0,1,2,3,0,0,0,0,0,0
11075,200,Apeldoorn,89891,185,"0,21 %",110300,90076,"81,66 %",30742,27887,14719,7973,2867,2117,1176,1156,465,115,296,112,102,43,46,42,21,0,12,0,0,0,0,0,0
10886,3,Appingedam,8051,28,"0,35 %",9612,8079,"84,05 %",2121,4120,718,440,292,18,167,63,17,17,8,5,0,20,32,6,6,0,1,0,0,0,0,0,0
10202,885,Arcen en Velden,5419,12,"0,22 %",6414,5431,"84,67 %",3365,1023,520,300,149,3,4,5,7,19,8,6,6,3,1,0,0,0,0,0,0,0,0,0,0
11419,649,Arnemuiden,2633,12,"0,46 %",3155,2645,"83,84 %",727,505,238,113,42,646,32,289,32,0,0,3,0,1,4,1,0,0,0,0,0,0,0,0,0
10795,202,Arnhem,75154,227,"0,30 %",99581,75381,"75,70 %",20380,30147,9857,6951,4717,192,625,345,678,569,316,117,75,28,48,66,16,0,27,0,0,0,0,0,0
10522,106,Assen,31024,113,"0,36 %",37256,31137,"83,58 %",6769,13486,4307,2551,1422,45,1684,304,129,102,72,32,0,16,93,6,4,0,2,0,0,0,0,0,0
